Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Cases_28_Days,Deaths_28_Days
Afghanistan,2022-04-09 09:20:32,33.93911,67.709953,177974,7671,,,457.1836236226968,2000,31
Albania,2022-04-09 09:20:32,41.1533,20.1683,274136,3492,,,9525.887830982,1584,7
Algeria,2022-04-09 09:20:32,28.0339,1.6596,265714,6874,,,605.9468186423752,323,13
Andorra,2022-04-09 09:20:32,42.5063,1.5218,40328,153,,,52194.39591017925,1534,1
Angola,2022-04-09 09:20:32,-11.2027,17.8739,99194,1900,,,301.81096314312293,339,0
Antarctica,2022-04-09 09:20:32,-71.9499,23.347,11,0,,,,0,0
Antigua and Barbuda,2022-04-09 09:20:32,17.0608,-61.7964,7511,135,,,7669.920758107998,45,0
Argentina,2022-04-09 09:20:32,-38.4161,-63.6167,9051243,128194,,,20026.74497663797,84033,1143
Armenia,2022-04-09 09:20:32,40.0691,45.0382,422662,8620,,,14263.537742884968,801,51
Australia,2022-04-09 09:20:32,-25.0,133.0,5021059,6550,,,19721.59530552206,1457646,979
Austria,2022-04-09 09:20:32,47.5162,14.5501,3976750,16208,,,44154.71220465448,892844,1005
Azerbaijan,2022-04-09 09:20:32,40.1431,47.5769,792188,9703,,,7813.1406154840015,1810,114
Bahamas,2022-04-09 09:20:32,25.025885,-78.035889,33340,789,,,8478.11050532997,149,18
Bahrain,2022-04-09 09:20:32,26.0275,50.55,559034,1472,,,32853.760292621635,23969,10
Bangladesh,2022-04-09 09:20:32,23.685,90.3563,1951995,29123,,,1185.2585542809402,2940,18
Barbados,2022-04-09 09:20:32,13.1939,-59.5432,61267,377,,,21319.826983237694,4462,54
Belarus,2022-04-09 09:20:32,53.7098,27.9534,968676,6870,,,10251.2762557225,31093,237
Belgium,2022-04-09 09:20:32,50.8333,4.469936,3915732,30997,,,34071.64636918529,275680,589
Belize,2022-04-09 09:20:32,17.1899,-88.4976,57318,660,,,14415.234607830069,284,8
Benin,2022-04-09 09:20:32,9.3077,2.3158,26952,163,,,222.31757659983776,377,0
Bhutan,2022-04-09 09:20:32,27.5142,90.4336,38921,13,,,5044.115436255527,22255,6
Bolivia,2022-04-09 09:20:32,-16.2902,-63.5887,903062,21899,,,7736.312485816663,5964,426
Bosnia and Herzegovina,2022-04-09 09:20:32,43.9159,17.6791,376081,15732,,,11463.035861516117,2976,118
Botswana,2022-04-09 09:20:32,-22.3285,24.6849,305526,2686,,,12992.12246850582,41576,67
Brazil,2022-04-09 09:20:32,-14.235,-51.9253,30125540,661377,,,14172.762401686956,812312,6534
Brunei,2022-04-09 09:20:32,4.5353,114.7277,137947,214,,,31531.96809933185,31011,56
Bulgaria,2022-04-09 09:20:32,42.7339,25.4858,1144822,36685,,,16475.945337410023,33606,616
Burkina Faso,2022-04-09 09:20:32,12.2383,-1.5616,20858,382,,,99.78339282480002,107,7
Burma,2022-04-09 09:20:32,21.9162,95.956,612224,19434,,,1125.2091856844745,8005,31
Burundi,2022-04-09 09:20:32,-3.3731,29.9189,38663,38,,,325.15105609967924,415,0
Cabo Verde,2022-04-09 09:20:32,16.5388,-23.0418,55970,401,,,10066.764030878365,64,0
Cambodia,2022-04-09 09:20:32,11.55,104.9167,135914,3055,,,812.932805493831,2151,10
Cameroon,2022-04-09 09:20:32,3.848,11.5021,119780,1927,,,451.2190674976712,458,1
Canada,2022-04-09 09:20:32,60.00100000000001,-95.001,3533901,37866,,,9239.897037366522,163796,602
Central African Republic,2022-04-09 09:20:32,6.6111,20.9394,14649,113,,,303.3067454227578,329,0
Chad,2022-04-09 09:20:32,15.4542,18.7322,7349,192,,,44.740430317829954,89,2
Chile,2022-04-09 09:20:32,-35.6751,-71.543,3504783,56955,,,18334.090195393863,235721,13296
China,2022-04-09 09:20:32,30.5928,114.3055,1549853,13281,,,109.7801641045272,586551,5201
Colombia,2022-04-09 09:20:32,4.5709,-74.2973,6087443,139703,,,11963.635944849351,11787,448
Comoros,2022-04-09 09:20:32,-11.6455,43.3333,8097,160,,,931.1231090335156,37,0
Congo (Brazzaville),2022-04-09 09:20:32,-0.228,15.8277,24079,385,,,436.3645984880281,30,7
Congo (Kinshasa),2022-04-09 09:20:32,-4.0383,21.7587,86748,1337,,,96.85868702996214,433,2
Costa Rica,2022-04-09 09:20:32,9.7489,-83.7534,841343,8327,,,16515.982956015512,18408,167
